PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
255,0.325,0.0775,27.664,0.0,0.1231,0.0,401.36,277.05
256,0.1943,0.0314,26.0995,0.0272,0.4793,0.0,401.33,274.67
257,0.3275,0.0049,26.3233,0.0443,0.4055,0.0,401.28,272.31
258,0.3301,0.0188,24.8325,0.0841,0.6912,0.0012,401.23,269.94
259,0.6058,0.0812,18.7301,0.2589,2.3365,0.0213,401.2,267.58
260,0.3807,0.0166,24.3113,0.0572,0.6497,0.026,401.14,265.23
261,0.3672,0.0,23.5509,0.0364,0.2053,0.0034,401.1,262.87
262,0.444,0.0104,24.0361,0.1639,0.5532,0.0,401.06,260.53
263,0.3458,0.0,25.4724,0.0326,0.5881,0.02,401.02,258.18
264,0.151,0.0342,27.7303,0.0,0.3444,0.0,400.97,255.84
265,0.3688,0.0605,29.0531,0.0,0.0238,0.0,400.93,253.5
266,0.3402,0.0761,28.0264,0.0,0.1135,0.0086,400.89,251.17
267,0.1983,0.0211,23.7863,0.0,0.4633,0.0,400.85,248.83
268,0.4429,0.0921,27.2022,0.0,0.1758,0.0106,400.81,246.51
269,0.6007,0.0436,26.9182,0.0,0.0426,0.0,400.76,244.19
270,0.3511,0.0167,28.725,0.0,0.0548,0.0,400.72,241.87
271,0.2571,0.0364,27.7452,0.0,0.0353,0.0,400.67,239.56
272,0.3521,0.0324,29.1386,0.0,0.0456,0.0,400.63,237.24
273,0.6128,0.0477,26.7149,0.0,0.0711,0.0,400.59,234.93
274,0.6371,0.0225,26.8885,0.005,0.0731,0.0,400.55,232.62
275,0.5124,0.0481,26.7743,0.0,0.055,0.0,400.5,230.33
276,0.7365,0.0186,32.9686,0.0,0.1377,0.0,400.46,228.03
277,0.1889,0.0253,28.2509,0.0,0.0552,0.0,400.42,225.73
278,0.5594,0.0472,26.9028,0.0,0.0576,0.0,400.38,223.44
279,0.4736,0.0494,26.5681,0.0,0.0,0.0,400.33,221.16
280,0.3949,0.0511,29.0999,0.0023,0.0859,0.0,400.29,218.87
281,0.4614,0.0443,29.0392,0.0,0.2325,0.0,400.25,216.6
282,0.2666,0.0347,25.2346,0.0,0.0604,0.003,400.2,214.32
283,0.4168,0.0562,28.5252,0.0,0.0874,0.0,400.16,212.05
284,0.5389,0.072,22.392,0.0,0.2707,0.0125,400.12,209.78
285,0.0507,0.0,25.8153,0.0,0.066,0.0,400.08,207.52
286,0.2959,0.0616,27.2805,0.0,0.0475,0.0025,400.04,205.25
287,0.3304,0.0387,28.8903,0.0,0.05,0.0,399.99,203.0
288,0.3088,0.0254,29.0082,0.0,0.0303,0.0,399.95,200.74
289,0.2042,0.0282,27.2217,0.0,0.0,0.0,399.91,198.49
290,0.3223,0.0437,26.6957,0.0074,0.0,0.0,399.87,196.24
291,0.4621,0.0318,26.6017,0.0,0.0194,0.0,399.83,194.0
292,0.3912,0.007,32.3445,0.0,0.017,0.0,399.79,191.76
293,0.5314,0.0494,27.0084,0.0,0.0212,0.0034,399.74,189.52
294,0.2939,0.0264,27.9719,0.0,0.0608,0.0052,399.7,187.29
